"","fips","county","pctblack","hbcus","hbcuzip","pov"
"86",28043,"Grenada County",0.432667570980869,NA,NA,TRUE
"87",28051,"Holmes County",0.831882629879017,NA,NA,TRUE
"88",28053,"Humphreys County",0.755473611431205,NA,NA,TRUE
"89",28055,"Issaquena County",0.64891975308642,NA,NA,TRUE
"90",28061,"Jasper County",0.540702242098266,NA,NA,TRUE
"91",28063,"Jefferson County",0.863995712180088,NA,NA,TRUE
"92",28065,"Jefferson Davis County",0.616461895351834,NA,NA,TRUE
"93",28069,"Kemper County",0.602856576076175,NA,NA,TRUE
"94",28075,"Lauderdale County",0.428503854463635,NA,NA,TRUE
"95",28079,"Leake County",0.423744332054412,NA,NA,TRUE
"96",28083,"Leflore County",0.732341513631986,NA,NA,TRUE
"97",28087,"Lowndes County",0.435289969441553,NA,NA,TRUE
"98",28097,"Montgomery County",0.421185372005044,NA,NA,TRUE
"99",28103,"Noxubee County",0.720800584902212,NA,NA,TRUE
"100",28105,"Oktibbeha County",0.371072238419177,NA,NA,TRUE
"101",28107,"Panola County",0.504192351514797,NA,NA,TRUE
"102",28113,"Pike County",0.533008072831527,NA,NA,TRUE
"103",28119,"Quitman County",0.709964176728141,NA,NA,TRUE
"104",28123,"Scott County",0.38487270678545,NA,NA,TRUE
"105",28125,"Sharkey County",0.723385877780177,NA,NA,TRUE
"106",28133,"Sunflower County",0.739773360579602,NA,NA,TRUE
"107",28135,"Tallahatchie County",0.472237493128092,NA,NA,TRUE
"108",28147,"Walthall County",0.457600545330607,NA,NA,TRUE
"109",28149,"Warren County",0.501999579035992,NA,NA,FALSE
"110",28151,"Washington County",0.7185533936086,NA,NA,TRUE
"111",28153,"Wayne County",0.40517157102356,NA,NA,TRUE
"112",28157,"Wilkinson County",0.713011889035667,NA,NA,TRUE
"113",28159,"Winston County",0.473000757493778,NA,NA,TRUE
"114",28161,"Yalobusha County",0.401416384999195,NA,NA,TRUE
"115",37007,"Anson County",0.48634992753907,NA,NA,FALSE
"116",37015,"Bertie County",0.62014764224376,NA,NA,TRUE
"117",37079,"Greene County",0.359181347642338,NA,NA,FALSE
"118",37083,"Halifax County",0.528087954110899,NA,NA,TRUE
"119",37091,"Hertford County",0.579795565081197,NA,NA,FALSE
"120",37107,"Lenoir County",0.393395933303414,NA,NA,FALSE
"121",37117,"Martin County",0.419081241658415,NA,NA,TRUE
"122",37131,"Northampton County",0.570547341623421,NA,NA,TRUE
"123",37139,"Pasquotank County",0.362565114044404,NA,NA,FALSE
"124",37165,"Scotland County",0.3872478487798,NA,NA,FALSE
"125",37177,"Tyrrell County",0.357457212713936,NA,NA,TRUE
"126",37181,"Vance County",0.5,NA,NA,TRUE
