"","fips","county","pov"
"76",28021,"Claiborne County",TRUE
"77",28025,"Clay County",TRUE
"78",28027,"Coahoma County",TRUE
"79",28031,"Covington County",TRUE
"80",28037,"Franklin County",TRUE
"81",28043,"Grenada County",TRUE
"82",28051,"Holmes County",TRUE
"83",28053,"Humphreys County",TRUE
"84",28055,"Issaquena County",TRUE
"85",28061,"Jasper County",TRUE
"86",28063,"Jefferson County",TRUE
"87",28065,"Jefferson Davis County",TRUE
"88",28069,"Kemper County",TRUE
"89",28075,"Lauderdale County",TRUE
"90",28079,"Leake County",TRUE
"91",28083,"Leflore County",TRUE
"92",28087,"Lowndes County",TRUE
"93",28097,"Montgomery County",TRUE
"94",28103,"Noxubee County",TRUE
"95",28105,"Oktibbeha County",TRUE
"96",28107,"Panola County",TRUE
"97",28113,"Pike County",TRUE
"98",28119,"Quitman County",TRUE
"99",28123,"Scott County",TRUE
"100",28125,"Sharkey County",TRUE
"101",28133,"Sunflower County",TRUE
"102",28135,"Tallahatchie County",TRUE
"103",28147,"Walthall County",TRUE
"104",28149,"Warren County",FALSE
"105",28151,"Washington County",TRUE
"106",28153,"Wayne County",TRUE
"107",28157,"Wilkinson County",TRUE
"108",28159,"Winston County",TRUE
"109",28161,"Yalobusha County",TRUE
"110",37007,"Anson County",FALSE
"111",37015,"Bertie County",TRUE
"112",37017,"Bladen County",TRUE
"113",37079,"Greene County",FALSE
"114",37083,"Halifax County",TRUE
"115",37091,"Hertford County",FALSE
"116",37107,"Lenoir County",FALSE
"117",37117,"Martin County",TRUE
"118",37131,"Northampton County",TRUE
"119",37139,"Pasquotank County",FALSE
"120",37165,"Scotland County",FALSE
"121",37177,"Tyrrell County",TRUE
"122",37181,"Vance County",TRUE
"123",37185,"Warren County",FALSE
"124",37187,"Washington County",TRUE
"125",37195,"Wilson County",FALSE
"126",45005,"Allendale County",TRUE
"127",45009,"Bamberg County",TRUE
"128",45011,"Barnwell County",TRUE
"129",45027,"Clarendon County",TRUE
"130",45029,"Colleton County",TRUE
"131",45033,"Dillon County",TRUE
"132",45049,"Hampton County",TRUE
"133",45061,"Lee County",TRUE
"134",45065,"McCormick County",FALSE
"135",45067,"Marion County",TRUE
"136",45069,"Marlboro County",TRUE
"137",45075,"Orangeburg County",TRUE
"138",45089,"Williamsburg County",TRUE
"139",47069,"Hardeman County",TRUE
"140",47075,"Haywood County",TRUE
"141",51025,"Brunswick County",FALSE
"142",51057,"Essex County",FALSE
"143",51081,"Greensville County",FALSE
"144",51083,"Halifax County",FALSE
"145",51117,"Mecklenburg County",FALSE
"146",51131,"Northampton County",TRUE
"147",51135,"Nottoway County",FALSE
"148",51175,"Southampton County",FALSE
"149",51181,"Surry County",FALSE
"150",51590,"Danville city",FALSE
"151",51595,"Emporia city",FALSE
"152",51620,"Franklin city",FALSE
"153",51690,"Martinsville city",FALSE
