"","FIPS","county","state","rural","south","black35","white90","X1990","X2000","X2010","X2017","pctblack","pctwhite"
"87",2195,"Petersburg Census area","AK",TRUE,FALSE,FALSE,FALSE,NA,NA,3815,7715,0.00751782242384964,0.116785482825664
"88",2198,"Price of Wales Hyder Census Area","AK",TRUE,FALSE,FALSE,FALSE,6278,6146,5559,3275,0.00580152671755725,0.761832061068702
"89",2220,"Sitka City and Borough","AK",TRUE,FALSE,FALSE,FALSE,8588,8835,8881,6473,0.00154487872701993,0.470261084504866
"90",2230,"Skagway Municipality","AK",TRUE,FALSE,FALSE,FALSE,4385,3436,968,8810,0.00964812712826334,0.648354143019296
"91",2240,"Southeast Fairbanks Census Area","AK",TRUE,FALSE,FALSE,FALSE,5913,6174,7029,1038,0.00867052023121387,0.827552986512524
"92",2261,"Valdez-Cordova Census Area","AK",TRUE,FALSE,FALSE,FALSE,9952,10195,9636,6889,0.0172739149368559,0.780955145884744
"93",2270,"Wade Hampton Census Area","AK",TRUE,FALSE,FALSE,FALSE,5791,7028,7459,9439,0.00137726454073525,0.731857188261468
"94",2275,"Wrangell City and Borough","AK",TRUE,FALSE,FALSE,FALSE,7042,6684,2369,2475,0.00161616161616162,0.659393939393939
"95",2282,"Yakutat City and Borough","AK",TRUE,FALSE,FALSE,FALSE,NA,808,662,682,0.00879765395894428,0.460410557184751
"96",2290,"Yukon-Koyukuk Census Area","AK",TRUE,FALSE,FALSE,FALSE,8478,6551,5588,5453,0.000916926462497708,0.225747295066936
"97",4001,"Apache County","AZ",TRUE,FALSE,FALSE,FALSE,61591,69423,71518,71602,0.00508365688109271,0.227842797687215
"98",4003,"Cochise County","AZ",FALSE,FALSE,FALSE,FALSE,97624,117755,131346,126516,0.0378292073729805,0.844019728729963
"99",4005,"Coconino County","AZ",FALSE,FALSE,FALSE,FALSE,96591,116320,134421,138639,0.0143249734923074,0.635802335562143
"100",4007,"Gila County","AZ",TRUE,FALSE,FALSE,FALSE,40216,51335,53597,53145,0.00564493367202935,0.775444538526672
