County ID,State / County Name,All Ages in Poverty Count,Median Household Income in Dollars
13071,Colquitt County (GA),"8,973","$19,435 "
13073,Columbia County (GA),"4,178","$38,354 "
13075,Cook County (GA),"2,609","$19,025 "
13077,Coweta County (GA),"6,959","$28,875 "
13079,Crawford County (GA),"1,536","$22,936 "
13081,Crisp County (GA),"6,354","$18,302 "
13083,Dade County (GA),"1,998","$22,268 "
13085,Dawson County (GA),975,"$24,885 "
13087,Decatur County (GA),"6,442","$19,551 "
13089,De Kalb County (GA),"54,904","$32,936 "
13091,Dodge County (GA),"4,172","$18,559 "
13093,Dooly County (GA),"3,114","$16,816 "
13095,Dougherty County (GA),"24,269","$23,763 "
13097,Douglas County (GA),"4,816","$35,697 "
13099,Early County (GA),"3,935","$15,830 "
13101,Echols County (GA),703,"$20,654 "
13103,Effingham County (GA),"3,022","$29,318 "
13105,Elbert County (GA),"3,557","$19,989 "
13107,Emanuel County (GA),"5,708","$16,406 "
13109,Evans County (GA),"2,220","$18,925 "
13111,Fannin County (GA),"3,172","$17,613 "
13113,Fayette County (GA),"1,686","$50,533 "
13115,Floyd County (GA),"11,087","$24,375 "
13117,Forsyth County (GA),"3,029","$36,829 "
13119,Franklin County (GA),"2,381","$21,252 "
13121,Fulton County (GA),"127,707","$28,019 "
13123,Gilmer County (GA),"2,184","$20,563 "
13125,Glascock County (GA),336,"$19,911 "
13127,Glynn County (GA),"9,631","$25,234 "
13129,Gordon County (GA),"3,664","$25,916 "
13131,Grady County (GA),"4,914","$18,025 "
13133,Greene County (GA),"2,571","$17,676 "
13135,Gwinnett County (GA),"12,763","$42,544 "
13137,Habersham County (GA),"3,021","$23,900 "
13139,Hall County (GA),"10,992","$27,397 "
13141,Hancock County (GA),"2,767","$15,377 "
13143,Haralson County (GA),"3,095","$22,675 "
13145,Harris County (GA),"2,135","$26,477 "
13147,Hart County (GA),"2,897","$22,428 "
13149,Heard County (GA),"1,050","$21,920 "
13151,Henry County (GA),"3,895","$35,365 "
13153,Houston County (GA),"9,291","$32,317 "
13155,Irwin County (GA),"2,215","$17,877 "
13157,Jackson County (GA),"3,910","$23,847 "
13159,Jasper County (GA),"1,563","$21,960 "
13161,Jeff Davis County (GA),"1,916","$22,125 "
13163,Jefferson County (GA),"4,822","$15,523 "
13165,Jenkins County (GA),"2,441","$15,933 "
13167,Johnson County (GA),"2,087","$17,190 "
13169,Jones County (GA),"2,347","$31,172 "
13171,Lamar County (GA),"1,998","$21,404 "
13173,Lanier County (GA),"1,408","$18,897 "
13175,Laurens County (GA),"7,953","$21,631 "
13177,Lee County (GA),"2,023","$31,205 "
13179,Liberty County (GA),"8,249","$19,953 "
13181,Lincoln County (GA),"1,317","$20,104 "
13183,Long County (GA),"1,171","$20,185 "
13185,Lowndes County (GA),"14,735","$22,309 "
13187,Lumpkin County (GA),"1,888","$24,365 "
13189,McDuffie County (GA),"3,916","$20,322 "
13191,McIntosh County (GA),"2,215","$16,531 "
13193,Macon County (GA),"4,143","$16,566 "
13195,Madison County (GA),"2,796","$23,781 "
13197,Marion County (GA),"1,567","$17,560 "
13199,Meriwether County (GA),"4,618","$19,433 "
13201,Miller County (GA),"1,663","$18,536 "
13205,Mitchell County (GA),"6,536","$17,487 "
13207,Monroe County (GA),"2,259","$24,154 "
13209,Montgomery County (GA),"1,522","$17,923 "
13211,Morgan County (GA),"2,119","$22,054 "
13213,Murray County (GA),"2,655","$25,302 "
13215,Muscogee County (GA),"35,066","$22,716 "
13217,Newton County (GA),"5,461","$26,944 "
13219,Oconee County (GA),"1,386","$35,008 "
13221,Oglethorpe County (GA),"1,577","$22,193 "
13223,Paulding County (GA),"3,917","$31,745 "
13225,Peach County (GA),"4,473","$23,642 "
13227,Pickens County (GA),"1,716","$24,235 "
13229,Pierce County (GA),"2,727","$20,294 "
13231,Pike County (GA),"1,110","$24,892 "
13233,Polk County (GA),"5,623","$21,599 "
13235,Pulaski County (GA),"1,675","$20,893 "
13237,Putnam County (GA),"2,195","$23,035 "
13239,Quitman County (GA),771,"$12,208 "
13241,Rabun County (GA),"1,811","$20,179 "
13243,Randolph County (GA),"3,049","$13,794 "
13245,Richmond County (GA),"37,446","$23,497 "
13247,Rockdale County (GA),"3,541","$38,434 "
13249,Schley County (GA),746,"$19,759 "
13251,Screven County (GA),"3,576","$18,644 "
13253,Seminole County (GA),"2,348","$18,160 "
13255,Spalding County (GA),"9,105","$23,344 "
13257,Stephens County (GA),"3,220","$22,110 "
13259,Stewart County (GA),"1,892","$13,919 "
13261,Sumter County (GA),"7,271","$20,780 "
13263,Talbot County (GA),"1,340","$17,362 "
13265,Taliaferro County (GA),534,"$14,847 "
13267,Tattnall County (GA),"4,372","$18,151 "
13269,Taylor County (GA),"1,885","$18,618 "
13271,Telfair County (GA),"2,742","$16,042 "
13273,Terrell County (GA),"3,481","$15,968 "
13275,Thomas County (GA),"8,687","$19,819 "
13277,Tift County (GA),"7,624","$21,786 "
13279,Toombs County (GA),"5,880","$18,897 "
