"","fips","zip"
"263",45089,29510
"264",45069,29512
"265",45069,29516
"266",45089,29518
"267",45067,29519
"268",45069,29525
"269",45033,29536
"270",45033,29543
"271",45067,29546
"272",45033,29547
"273",45061,29550
"274",45089,29554
"275",45089,29555
"276",45089,29556
"277",45027,29560
"278",45089,29560
"279",45033,29563
"280",45089,29564
"281",45033,29565
"282",45067,29565
"283",45069,29565
"284",45033,29567
"285",45069,29570
"286",45067,29571
"287",45033,29574
"288",45067,29574
"289",45089,29580
"290",45033,29581
"291",45067,29581
"292",45089,29590
"293",45033,29592
"294",45067,29592
"295",45069,29594
"296",45069,29596
"297",45065,29620
"298",45065,29628
"299",45005,29810
"300",45005,29812
"301",45011,29812
"302",45009,29817
"303",45011,29817
"304",45065,29819
"305",45065,29821
"306",45011,29826
"307",45005,29827
"308",45065,29835
"309",45005,29836
"310",45011,29836
"311",45065,29838
"312",45065,29840
"313",45009,29843
"314",45011,29843
"315",45065,29844
"316",45065,29845
"317",45065,29848
"318",45005,29849
"319",45011,29849
"320",45011,29853
"321",45065,29899
"322",45049,29911
"323",45049,29916
"324",45049,29918
"325",45049,29921
"326",45049,29922
"327",45049,29923
"328",45049,29924
"329",45029,29929
"330",45005,29932
"331",45049,29932
"332",45049,29934
"333",45049,29939
"334",45049,29944
"335",45029,29945
"336",45049,29945
"337",13285,30217
"338",13285,30230
"339",13285,30240
"340",13285,30241
"341",13175,30411
"342",13271,30411
"343",13309,30411
"344",13163,30413
"345",13303,30413
"346",13165,30425
"347",13251,30426
"348",13175,30428
"349",13309,30428
"350",13163,30434
"351",13165,30441
"352",13165,30442
"353",13251,30446
"354",13251,30449
"355",13175,30454
"356",13251,30455
"357",13175,30457
"358",13251,30467
"359",13163,30477
"360",13265,30631
"361",13317,30631
"362",13133,30642
"363",13133,30650
"364",13317,30660
"365",13265,30664
"366",13133,30665
"367",13317,30668
"368",13133,30669
"369",13265,30669
"370",13317,30673
"371",13133,30677
"372",13133,30678
"373",13141,30678
"374",13265,30678
"375",13163,30803
"376",13301,30807
"377",13163,30810
"378",13301,30810
"379",13163,30816
"380",13317,30817
"381",13163,30818
"382",13301,30820
"383",13303,30820
"384",13301,30821
"385",13165,30822
"386",13163,30823
"387",13301,30823
"388",13301,30824
"389",13301,30828
"390",13163,30833
"391",13315,31001
"392",13175,31002
"393",13319,31003
"394",13269,31006
"395",13093,31007
"396",13175,31009
"397",13081,31015
"398",13315,31015
"399",13319,31017
"400",13303,31018
"401",13175,31019
"402",13175,31021
"403",13175,31022
"404",13175,31027
"405",13193,31030
"406",13009,31031
"407",13319,31031
"408",13009,31033
"409",13303,31035
"410",13271,31037
"411",13309,31037
"412",13269,31039
"413",13193,31041
"414",13319,31042
"415",13319,31044
"416",13141,31045
"417",13301,31045
"418",13093,31051
"419",13319,31054
"420",13271,31055
"421",13193,31057
"422",13269,31058
"423",13271,31060
"424",13009,31061
"425",13141,31061
"426",13319,31061
"427",13009,31062
"428",13093,31063
"429",13193,31063
"430",13175,31065
"431",13303,31067
"432",13193,31068
"433",13093,31070
"434",13315,31071
"435",13081,31072
"436",13315,31072
"437",13175,31075
"438",13193,31076
"439",13269,31076
"440",13271,31077
"441",13017,31079
"442",13315,31079
"443",13269,31081
"444",13009,31082
"445",13303,31082
"446",13271,31083
"447",13309,31083
"448",13315,31084
"449",13009,31087
"450",13141,31087
"451",13303,31087
"452",13303,31089
"453",13319,31090
"454",13093,31091
"455",13081,31092
"456",13093,31092
"457",13303,31094
"458",13303,31096
"459",13271,31544
"460",13271,31549
"461",13309,31549
"462",13275,31626
"463",13205,31705
"464",13261,31709
"465",13193,31711
"466",13261,31711
"467",13081,31712
"468",13287,31714
"469",13205,31716
"470",13261,31719
"471",13275,31720
"472",13087,31730
"473",13205,31730
"474",13287,31733
"475",13261,31735
"476",13275,31738
"477",13261,31743
"478",13205,31744
"479",13017,31750
"480",13315,31750
"481",13275,31757
"482",13261,31764
"483",13205,31765
"484",13275,31765
"485",13275,31773
"486",13275,31778
"487",13205,31779
"488",13261,31780
"489",13307,31780
"490",13017,31783
"491",13287,31783
"492",13205,31784
"493",13261,31787
"494",13287,31790
"495",13275,31792
"496",13017,31798
"497",13263,31801
"498",13307,31803
"499",13259,31805
"500",13193,31806
"501",13263,31810
"502",13263,31812
"503",13269,31812
"504",13259,31814
"505",13259,31815
"506",13263,31816
"507",13259,31821
"508",13285,31822
"509",13307,31824
"510",13259,31825
"511",13307,31825
"512",13263,31826
"513",13263,31827
