County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,Median Household Income in Dollars
10000,Delaware,"934,947","121,592","$64,085 "
10001,Kent County (DE),"171,484","22,671","$57,112 "
10003,New Castle County (DE),"542,068","72,551","$66,839 "
10005,Sussex County (DE),"221,394","26,370","$61,124 "
11000,District of Columbia,"660,640","109,502","$80,153 "
11001,District of Columbia (DC),"660,640","109,502","$80,153 "
12000,Florida,"20,569,893","2,901,876","$52,582 "
12001,Alachua County (FL),"253,418","53,816","$45,230 "
12003,Baker County (FL),"25,470","3,900","$51,856 "
12005,Bay County (FL),"179,394","26,663","$51,633 "
12007,Bradford County (FL),"23,712","4,533","$44,997 "
12009,Brevard County (FL),"581,834","72,303","$52,596 "
12011,Broward County (FL),"1,921,125","252,288","$56,702 "
12013,Calhoun County (FL),"12,558","2,650","$37,612 "
12015,Charlotte County (FL),"178,662","19,300","$51,583 "
12017,Citrus County (FL),"143,132","20,654","$43,147 "
12019,Clay County (FL),"210,468","20,889","$65,375 "
12021,Collier County (FL),"369,210","43,075","$66,709 "
12023,Columbia County (FL),"64,913","10,720","$42,097 "
12027,DeSoto County (FL),"33,628","8,766","$37,342 "
12029,Dixie County (FL),"14,887","3,627","$38,355 "
12031,Duval County (FL),"917,347","138,069","$52,105 "
12033,Escambia County (FL),"295,699","48,602","$48,289 "
12035,Flagler County (FL),"109,620","13,137","$52,713 "
12037,Franklin County (FL),"10,069","2,141","$40,158 "
12039,Gadsden County (FL),"43,252","9,994","$38,084 "
12041,Gilchrist County (FL),"16,651","2,675","$42,880 "
12043,Glades County (FL),"12,243","2,312","$42,865 "
12045,Gulf County (FL),"13,030","2,810","$44,135 "
12047,Hamilton County (FL),"11,653","2,791","$35,262 "
12049,Hardee County (FL),"25,872","6,026","$40,056 "
12051,Hendry County (FL),"39,777","9,525","$38,361 "
12053,Hernando County (FL),"184,489","25,773","$44,710 "
12055,Highlands County (FL),"101,379","20,051","$37,445 "
12057,Hillsborough County (FL),"1,387,130","214,442","$54,741 "
12059,Holmes County (FL),"17,692","3,756","$40,657 "
12061,Indian River County (FL),"153,052","16,249","$51,797 "
12063,Jackson County (FL),"40,419","7,264","$41,524 "
12065,Jefferson County (FL),"12,857","2,276","$48,163 "
12067,Lafayette County (FL),"6,965","1,579","$41,549 "
12069,Lake County (FL),"341,620","43,020","$51,429 "
12071,Lee County (FL),"730,173","85,844","$54,198 "
12073,Leon County (FL),"277,128","50,010","$51,716 "
